country,iso3,hs10,year,tariff_max,tariff_scaled,effective_mdate
"AUSTRIA","AUT",7219210020,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219210020,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219210040,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219210040,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219210060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219210060,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219220005,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219220005,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219220025,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219220025,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219220070,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219220070,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219220080,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219220080,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219230030,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219230030,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219230060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219230060,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219240060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219240060,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219330080,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219330080,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219340005,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219340005,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219340035,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219340035,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219350005,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219350005,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219900025,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219900025,2019,.25,.25,2018m6
"AUSTRIA","AUT",7219900080,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7219900080,2019,.25,.25,2018m6
"AUSTRIA","AUT",7220110000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7220110000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7220121000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7220121000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7220125000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7220125000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7220201010,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7220201010,2019,.25,.25,2018m6
"AUSTRIA","AUT",7220207060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7220207060,2019,.25,.25,2018m6
"AUSTRIA","AUT",7220207080,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7220207080,2019,.25,.25,2018m6
