hs8,country,tariff,effective_date
"29162090","china",.1,24sep2018
"29163100","china",.1,24sep2018
"29163200","china",.1,24sep2018
"29163400","china",.1,24sep2018
"29163910","china",.05,24sep2018
"29163920","china",.05,24sep2018
"29163990","china",.05,24sep2018
"29171110","china",.1,24sep2018
"29171190","china",.05,24sep2018
"29171200","china",.1,24sep2018
"29171310","china",.1,24sep2018
"29171390","china",.05,24sep2018
"29171400","china",.1,24sep2018
"29171900","china",.05,24sep2018
"29172010","china",.1,24sep2018
"29172090","china",.1,24sep2018
"29173200","china",.1,24sep2018
"29173300","china",.05,24sep2018
"29173410","china",.1,24sep2018
"29173490","china",.05,24sep2018
"29173611","china",.25,23aug2018
"29173619","china",.1,24sep2018
"29173690","china",.05,24sep2018
"29173700","china",.1,24sep2018
"29173910","china",.1,24sep2018
"29173990","china",.1,24sep2018
"29181100","china",.1,24sep2018
"29181200","china",.1,24sep2018
"29181300","china",.1,24sep2018
"29181400","china",.1,24sep2018
"29181500","china",.05,24sep2018
"29181600","china",.05,24sep2018
"29181900","china",.05,24sep2018
"29182110","china",.1,24sep2018
"29182190","china",.05,24sep2018
"29182210","china",.05,24sep2018
"29182300","china",.05,24sep2018
"29182900","china",.1,24sep2018
"29183000","china",.05,24sep2018
"29189900","china",.05,24sep2018
"29199000","china",.1,24sep2018
"29201900","china",.1,24sep2018
"29202300","china",.05,24sep2018
"29202910","china",.05,24sep2018
"29202990","china",.05,24sep2018
"29209000","china",.05,24sep2018
"29211100","china",.1,24sep2018
"29211200","china",.05,24sep2018
"29211990","china",.05,24sep2018
"29212110","china",.05,24sep2018
"29212190","china",.05,24sep2018
"29212290","china",.05,24sep2018
"29212900","china",.05,24sep2018
"29213000","china",.1,24sep2018
"29214200","china",.1,24sep2018
"29214300","china",.1,24sep2018
"29214400","china",.1,24sep2018
"29214500","china",.1,24sep2018
"29214600","china",.05,24sep2018
"29214920","china",.1,24sep2018
"29214930","china",.05,24sep2018
"29214990","china",.1,24sep2018
"29215110","china",.05,24sep2018
"29215190","china",.1,24sep2018
"29215900","china",.1,24sep2018
"29221100","china",.05,24sep2018
"29221200","china",.05,24sep2018
"29221500","china",.05,24sep2018
"29221700","china",.05,24sep2018
"29221921","china",.05,24sep2018
"29221922","china",.05,24sep2018
"29221940","china",.05,24sep2018
"29221950","china",.1,24sep2018
"29221990","china",.05,24sep2018
"29222100","china",.05,24sep2018
"29222990","china",.1,24sep2018
"29223100","china",.05,24sep2018
"29223990","china",.1,24sep2018
"29224110","china",.1,24sep2018
"29224190","china",.05,24sep2018
"29224210","china",.1,24sep2018
"29224220","china",.1,24sep2018
"29224290","china",.1,24sep2018
"29224390","china",.05,24sep2018
"29224911","china",.1,24sep2018
"29224919","china",.05,24sep2018
"29224991","china",.05,24sep2018
"29224999","china",.05,24sep2018
"29225090","china",.1,24sep2018
"29231000","china",.05,24sep2018
"29232000","china",.05,24sep2018
"29239000","china",.05,24sep2018
"29241910","china",.05,24sep2018
"29241990","china",.1,24sep2018
"29242100","china",.1,24sep2018
"29242920","china",.1,24sep2018
"29242930","china",.1,24sep2018
"29242990","china",.1,24sep2018
"29251100","china",.1,24sep2018
"29251900","china",.05,24sep2018
"29252900","china",.1,24sep2018
"29261000","china",.25,23aug2018
"29262000","china",.05,24sep2018
"29269090","china",.05,24sep2018
"29270000","china",.1,24sep2018
"29280000","china",.1,24sep2018
"29291010","china",.1,24sep2018
"29291030","china",.1,24sep2018
"29291090","china",.05,24sep2018
"29299090","china",.1,24sep2018
"29302000","china",.05,24sep2018
"29303000","china",.1,24sep2018
"29304000","china",.1,24sep2018
"29309010","china",.1,24sep2018
"29309020","china",.1,24sep2018
"29309090","china",.05,24sep2018
"29313990","china",.1,24sep2018
"29319000","china",.05,24sep2018
"29321100","china",.1,24sep2018
"29321200","china",.1,24sep2018
"29321300","china",.05,24sep2018
"29321400","china",.05,24sep2018
"29321900","china",.05,24sep2018
"29322010","china",.1,24sep2018
"29322090","china",.1,24sep2018
"29329500","china",.05,24sep2018
"29329930","china",.05,24sep2018
"29329990","china",.1,24sep2018
"29331100","china",.1,24sep2018
"29331990","china",.1,24sep2018
"29332100","china",.05,24sep2018
"29332900","china",.1,24sep2018
"29333100","china",.05,24sep2018
"29333210","china",.1,24sep2018
"29333300","china",.05,24sep2018
"29333990","china",.05,24sep2018
"29334100","china",.05,24sep2018
"29334900","china",.1,24sep2018
"29335200","china",.05,24sep2018
"29335300","china",.1,24sep2018
"29335910","china",.05,24sep2018
"29335990","china",.1,24sep2018
